Image,content_removal,copy_move,splicing,jpeg_compression,noise,cropping
Boat,0.978,0.953,1.030,1.757,2.304,1.367
Chemicalplant,0.239,0.239,0.382,0.447,0.571,0.379
Clock,0.240,0.248,0.268,0.423,0.628,0.370
Houses,0.241,0.247,0.267,0.433,0.598,0.375
JetPlane,0.978,0.968,0.985,1.741,2.984,1.958
Lake,1.328,1.290,1.306,2.463,3.301,1.729
Mandril,1.387,1.420,1.447,2.501,3.263,1.938
Peppers,1.317,1.435,1.205,2.490,3.260,1.911
Walter-Cronkite,0.280,0.396,0.365,0.652,0.863,0.549
AVERAGE,0.776,0.800,0.806,1.434,1.975,1.175
