Image,0%,10%,20%,30%,40%,50%,60%,70%
Boat,44.15 / 0.9872,36.51 / 0.9651,34.84 / 0.9517,33.81 / 0.9363,31.86 / 0.9151,28.20 / 0.8481,24.19 / 0.7457,20.45 / 0.6373
Chemicalplant,44.19 / 0.9930,32.93 / 0.9595,30.70 / 0.9437,30.62 / 0.9349,28.81 / 0.9085,25.33 / 0.8251,23.18 / 0.6985,20.12 / 0.5630
Clock,44.22 / 0.9776,32.35 / 0.9485,30.96 / 0.9473,33.11 / 0.9437,31.51 / 0.9335,27.01 / 0.8970,23.36 / 0.8409,21.17 / 0.7792
Houses,44.05 / 0.9792,32.53 / 0.9643,31.94 / 0.9559,31.66 / 0.9479,30.86 / 0.9379,28.06 / 0.8991,24.72 / 0.8376,20.37 / 0.7495
JetPlane,44.25 / 0.9796,32.87 / 0.9656,32.68 / 0.9601,32.40 / 0.9530,31.48 / 0.9432,28.07 / 0.9046,23.42 / 0.8346,18.65 / 0.7500
Lake,44.29 / 0.9872,32.33 / 0.9621,31.48 / 0.9494,30.57 / 0.9324,29.45 / 0.9128,25.87 / 0.8431,21.76 / 0.7298,18.31 / 0.6166
Mandril,44.29 / 0.9945,29.47 / 0.9568,28.02 / 0.9336,26.93 / 0.9052,25.80 / 0.8719,23.17 / 0.7600,20.53 / 0.5982,18.07 / 0.4545
Peppers,44.33 / 0.9833,32.84 / 0.9637,32.54 / 0.9545,31.72 / 0.9410,30.87 / 0.9267,28.22 / 0.8808,22.50 / 0.7911,19.59 / 0.7001
Walter-Cronkite,44.16 / 0.9781,39.38 / 0.9711,37.94 / 0.9667,36.82 / 0.9629,33.02 / 0.9516,28.10 / 0.9206,24.06 / 0.8626,21.67 / 0.7927
AVERAGE,44.21 / 0.9844,33.47 / 0.9619,32.34 / 0.9514,31.96 / 0.9397,30.41 / 0.9224,26.89 / 0.8643,23.08 / 0.7710,19.82 / 0.6714
